customer.customerid,customer.number,customer.contract,customer.paperlessbilling,customer.paymentmethod,customer.gender,customer.seniorcitizen,customer.partner,customer.dependents,customer.internetservice,customer.onlinesecurity,customer.onlinebackup,customer.deviceprotection,customer.techsupport,customer.streamingtv,customer.streamingmovies,customer.tenure,customer.phoneservice,customer.multiplelines
8887-EIXVL,769986684,One Year,Yes,Bank transfer (automatic),Female,0,No,No,Fiber Optic,No,No,Yes,Yes,No,Yes,55,Yes,Yes
9878-DSEJF,763826316,Two Year,No,Mailed check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,7,No,No phone service
2081-RRNSY,761761946,Two Year,Yes,Electronic check,Male,0,Yes,No,Fiber Optic,No,No,Yes,Yes,No,No,23,Yes,No
6252-ISTMD,760877215,One Year,Yes,Bank transfer (automatic),Male,0,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,68,No,No phone service
6990-AIBVW,769855649,One Year,No,Credit card (automatic),Male,0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,29,No,No phone service
7326-GTYSC,768381096,Two Year,Yes,Mailed check,Male,0,No,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,42,No,No phone service
2793-WWGVS,767692969,Month-to-Month,Yes,Mailed check,Female,0,No,No,Fiber Optic,No,Yes,No,No,Yes,No,70,No,No phone service
7517-TGIRZ,768151724,Month-to-Month,No,Credit card (automatic),Male,0,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,44,No,No phone service
4860-ZKZIC,764350638,Month-to-Month,Yes,Mailed check,Female,0,Yes,Yes,DSL,No,No,No,Yes,No,No,33,Yes,Yes
6942-CHPAY,760713396,One Year,No,Bank transfer (automatic),Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,53,Yes,Yes
3654-IIBSP,764776628,Two Year,No,Credit card (automatic),Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,14,Yes,No
2750-CKZPF,763105465,One Year,No,Credit card (automatic),Female,0,No,No,Fiber Optic,Yes,Yes,No,Yes,No,No,19,No,No phone service
7543-GKJEX,764055753,One Year,Yes,Electronic check,Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,37,No,No phone service
4522-OIFQW,768020685,One Year,Yes,Credit card (automatic),Male,0,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,60,Yes,Yes
3113-FHJZK,762876115,Month-to-Month,No,Bank transfer (automatic),Male,0,No,Yes,DSL,No,Yes,No,Yes,Yes,No,18,No,No phone service
3970-IFZPK,765333729,Two Year,Yes,Credit card (automatic),Female,0,No,No,Fiber Optic,No,No,No,Yes,Yes,No,24,Yes,No
0186-XJFVR,767135973,Two Year,No,Bank transfer (automatic),Female,0,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,12,Yes,Yes
5193-IFULN,761794792,One Year,No,Credit card (automatic),Male,0,Yes,No,DSL,Yes,No,No,No,No,No,64,No,No phone service
1565-BUTDO,763498729,One Year,Yes,Electronic check,Female,0,No,No,Fiber Optic,Yes,No,No,Yes,No,No,31,Yes,Yes
9708-QMFVY,760877293,One Year,Yes,Credit card (automatic),Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,25,Yes,Yes
6177-GUYPS,760811764,Month-to-Month,Yes,Mailed check,Female,0,No,No,DSL,Yes,Yes,No,No,Yes,Yes,10,No,No phone service
3565-PLXLC,762941688,Month-to-Month,Yes,Credit card (automatic),Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,44,Yes,Yes
2491-DTRNH,765104379,Two Year,No,Mailed check,Female,0,No,No,Fiber Optic,Yes,Yes,No,Yes,No,No,41,Yes,No
5384-JOTKZ,761598203,Month-to-Month,Yes,Mailed check,Female,0,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,67,No,No phone service
0718-YSXHW,766185731,Two Year,Yes,Electronic check,Male,0,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,35,Yes,No
7588-FFHTK,769691909,Two Year,Yes,Electronic check,Female,0,Yes,No,DSL,No,No,No,No,Yes,No,63,No,No phone service
2082-ZUKFX,767430921,Month-to-Month,No,Electronic check,Female,0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,33,No,No phone service
7245-BHMTF,762155274,One Year,No,Bank transfer (automatic),Female,0,Yes,No,DSL,Yes,No,Yes,No,No,Yes,65,Yes,Yes
7846-AGHLB,761106703,Month-to-Month,Yes,Mailed check,Male,0,No,No,DSL,No,No,No,Yes,No,No,17,Yes,Yes
3429-AXGQG,766906649,Two Year,Yes,Credit card (automatic),Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,No phone service
7628-ZPXAF,769397021,Month-to-Month,No,Bank transfer (automatic),Female,0,No,Yes,DSL,No,No,Yes,No,Yes,Yes,20,Yes,Yes
4906-CUANK,763203871,Two Year,Yes,Bank transfer (automatic),Male,0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,38,Yes,No
2337-EUTEY,764776735,Two Year,No,Electronic check,Male,0,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,Yes,11,Yes,No
2146-POLMP,765202727,Two Year,Yes,Mailed check,Female,0,No,Yes,Fiber Optic,Yes,No,No,No,No,No,15,Yes,No
7060-UKAOZ,768938295,One Year,Yes,Electronic check,Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,No phone service
4770-PEAEV,767725885,Month-to-Month,Yes,Bank transfer (automatic),Female,0,No,No,DSL,Yes,Yes,No,No,Yes,No,45,No,No phone service
3658-GPVGG,768905537,Two Year,Yes,Credit card (automatic),Male,0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,17,Yes,No
7113-AIWCQ,766382404,Month-to-Month,No,Electronic check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,64,No,No phone service
4214-VKLCC,766349639,Month-to-Month,Yes,Mailed check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,6,Yes,No
6056-XMEAC,765235529,One Year,No,Mailed check,Female,0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,17,Yes,Yes
6422-PKYDC,769069386,Month-to-Month,No,Mailed check,Female,0,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,71,Yes,Yes
8794-DQIAE,769298762,Month-to-Month,Yes,Bank transfer (automatic),Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,37,No,No phone service
3472-EUVPO,769331539,One Year,No,Bank transfer (automatic),Female,0,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,No,64,No,No phone service
7999-ZPYSN,765858135,Month-to-Month,No,Bank transfer (automatic),Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,51,No,No phone service
6600-PHBMF,760156510,Month-to-Month,No,Electronic check,Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,14,Yes,Yes
6126-IWGHH,766120296,One Year,Yes,Bank transfer (automatic),Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,28,No,No phone service
9597-JHWQQ,764711273,Two Year,Yes,Electronic check,Female,0,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,61,No,No phone service
4775-PDQEM,761598317,Two Year,Yes,Electronic check,Female,0,No,Yes,DSL,No,Yes,Yes,No,Yes,No,32,Yes,Yes
5466-UZFST,766579060,Two Year,Yes,Bank transfer (automatic),Female,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,20,Yes,Yes
0461-ESUDM,761303415,One Year,Yes,Credit card (automatic),Female,0,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,29,Yes,Yes
9555-NDNSZ,767857015,Month-to-Month,Yes,Bank transfer (automatic),Male,0,No,No,Fiber Optic,No,No,No,No,Yes,Yes,69,Yes,Yes
6539-QTDNB,767529345,Two Year,Yes,Electronic check,Female,0,Yes,No,Fiber Optic,No,No,Yes,No,No,No,62,No,No phone service
7563-RYQED,763335045,Two Year,No,Electronic check,Female,0,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,66,No,No phone service
6416-LQWGZ,762188167,Month-to-Month,No,Credit card (automatic),Female,0,No,No,DSL,Yes,No,Yes,Yes,No,Yes,36,Yes,Yes
6932-HVHRD,769102223,Month-to-Month,Yes,Mailed check,Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,57,Yes,No
2651-TFBBC,763203985,One Year,Yes,Mailed check,Male,0,No,Yes,DSL,No,No,Yes,No,No,Yes,45,No,No phone service
5605-PJXZW,764711314,Two Year,No,Electronic check,Female,0,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,7,No,No phone service
4561-CJIRG,765858197,Month-to-Month,No,Credit card (automatic),Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,51,Yes,No
7808-MUCIH,768676246,Two Year,No,Bank transfer (automatic),Female,0,No,No,DSL,No,No,No,Yes,Yes,No,25,Yes,No
2860-HNPEO,765759895,Month-to-Month,Yes,Credit card (automatic),Female,0,No,Yes,DSL,Yes,Yes,Yes,No,No,No,55,Yes,No
7876-KCAIG,764940696,One Year,Yes,Electronic check,Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,Yes,Yes
0506-KYTOW,767201689,One Year,Yes,Mailed check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,63,Yes,Yes
4873-OHMPO,763662745,Month-to-Month,No,Electronic check,Female,0,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,50,No,No phone service
4207-GWOVA,765530526,Month-to-Month,Yes,Credit card (automatic),Male,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,32,No,No phone service
2761-HZJYH,765890980,One Year,Yes,Credit card (automatic),Male,0,No,Yes,Fiber Optic,No,Yes,No,No,No,Yes,67,Yes,Yes
9672-VTSDC,766316969,Month-to-Month,Yes,Credit card (automatic),Female,0,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,51,Yes,No
9368-IXFMM,769429939,Month-to-Month,No,Credit card (automatic),Male,0,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,69,No,No phone service
3308-SPZZV,768348603,Month-to-Month,No,Bank transfer (automatic),Female,0,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,45,Yes,Yes
2113-ZUAJE,763630014,Two Year,Yes,Mailed check,Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,5,Yes,Yes
3957-XPKMY,763433420,Two Year,Yes,Bank transfer (automatic),Female,0,No,No,Fiber Optic,No,No,No,No,Yes,Yes,36,Yes,No
2420-FWDJG,769462732,One Year,Yes,Credit card (automatic),Female,0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,34,Yes,No
1912-CAGNN,763072974,Two Year,Yes,Electronic check,Female,0,No,No,DSL,Yes,Yes,No,Yes,Yes,No,9,No,No phone service
6941-MSYSQ,767562197,One Year,No,Mailed check,Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,46,No,No phone service
8879-RVGPS,768283102,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,59,No,No phone service
5442-FRCYK,768872930,One Year,No,Credit card (automatic),Male,0,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,38,Yes,Yes
2650-NOOJS,762941923,Two Year,Yes,Electronic check,Male,0,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,21,No,No phone service
4339-BKCFG,769561065,One Year,No,Mailed check,Male,0,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,26,Yes,Yes
7668-RGWIG,765628905,One Year,No,Electronic check,Female,0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,14,Yes,Yes
9410-ZQNLC,766874089,Month-to-Month,No,Credit card (automatic),Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,69,Yes,No
7030-YBTHW,766972397,Month-to-Month,Yes,Mailed check,Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24,Yes,No
5724-IUFIA,767889903,Month-to-Month,No,Electronic check,Male,0,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,13,Yes,Yes
1732-KSFET,767300080,Month-to-Month,Yes,Mailed check,Female,0,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,25,Yes,Yes
4349-RXLNA,766218738,Month-to-Month,Yes,Electronic check,Female,0,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,18,No,No phone service
2803-HQTEE,762876410,Two Year,No,Electronic check,Female,0,Yes,No,DSL,Yes,No,Yes,No,No,No,65,Yes,Yes
1223-KIEED,769561083,Month-to-Month,Yes,Bank transfer (automatic),Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,5,Yes,Yes
2505-CSLVM,763073038,Month-to-Month,No,Mailed check,Male,0,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,6,Yes,Yes
3458-KTVEW,766022162,Two Year,No,Bank transfer (automatic),Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,52,No,No phone service
0369-EOMWX,761336348,Two Year,Yes,Credit card (automatic),Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,8,No,No phone service
2172-CSHJW,761860641,One Year,Yes,Credit card (automatic),Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,64,Yes,No
8838-CISPX,767037994,One Year,No,Bank transfer (automatic),Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20,Yes,No
1941-MOSGC,764580395,One Year,No,Mailed check,Male,0,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,43,Yes,Yes
2323-PGHNV,760877616,Month-to-Month,Yes,Mailed check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,No,No phone service
3871-BWSCR,762745394,Month-to-Month,No,Mailed check,Female,0,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,31,Yes,No
6212-PKMSP,764318260,Month-to-Month,Yes,Electronic check,Female,0,Yes,Yes,DSL,No,No,No,No,No,Yes,28,Yes,No
9137-TBIHT,769102389,Month-to-Month,Yes,Bank transfer (automatic),Male,0,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,64,Yes,Yes
0106-UDZRT,769167924,Month-to-Month,Yes,Bank transfer (automatic),Male,0,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,27,No,No phone service
6671-JZDJS,766022201,Two Year,Yes,Mailed check,Female,0,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,70,No,No phone service
7920-STQAW,769528379,One Year,No,Credit card (automatic),Female,0,No,No,DSL,No,No,No,Yes,No,Yes,21,Yes,Yes
2588-DVBFZ,765628990,Two Year,No,Credit card (automatic),Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,44,Yes,Yes
7854-GOFDR,769626688,Two Year,Yes,Credit card (automatic),Female,0,No,No,DSL,No,No,Yes,No,No,Yes,57,No,No phone service
7006-GRDUY,764056129,Two Year,No,Bank transfer (automatic),Male,0,Yes,No,DSL,No,Yes,No,No,No,No,10,No,No phone service
6363-CRMEF,765203011,Month-to-Month,Yes,Mailed check,Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,31,No,No phone service
8782-XWQGU,763957851,One Year,Yes,Electronic check,Female,0,No,No,DSL,Yes,Yes,Yes,No,Yes,No,7,No,No phone service
8631-PVKHW,767070816,Month-to-Month,No,Electronic check,Male,0,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,72,No,No phone service
6526-YNNXM,769593953,Month-to-Month,Yes,Credit card (automatic),Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,61,Yes,No
0163-PXOCE,763138660,Month-to-Month,No,Bank transfer (automatic),Female,0,Yes,No,DSL,No,No,No,Yes,No,No,42,Yes,No
5934-CYTOD,767824485,Two Year,Yes,Bank transfer (automatic),Male,0,No,Yes,Fiber Optic,Yes,No,No,No,No,No,25,Yes,No
8500-IYBVL,763728488,Month-to-Month,Yes,Bank transfer (automatic),Male,0,No,Yes,DSL,No,No,Yes,Yes,Yes,No,55,No,No phone service
5859-TFRYX,768774770,Two Year,No,Credit card (automatic),Male,0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,48,No,No phone service
8716-TNLOU,761336440,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,No,DSL,No,No,No,No,Yes,Yes,46,Yes,Yes
4030-KPIPG,760418940,One Year,No,Electronic check,Male,0,No,Yes,DSL,No,No,Yes,No,No,No,26,No,No phone service
3228-HAIXH,762581638,Two Year,Yes,Credit card (automatic),Male,0,Yes,Yes,DSL,No,No,No,No,Yes,No,5,No,No phone service
2922-FSSBE,760943241,Month-to-Month,Yes,Credit card (automatic),Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,31,No,No phone service
2289-TZXAM,762679948,Two Year,Yes,Mailed check,Male,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,12,No,No phone service
7248-XNRHE,765465230,Month-to-Month,Yes,Electronic check,Female,0,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,12,No,No phone service
0463-PEKSB,765301395,Two Year,Yes,Credit card (automatic),Female,0,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,58,Yes,Yes
8967-MKBBN,764023444,One Year,No,Credit card (automatic),Male,0,No,No,DSL,No,Yes,No,Yes,Yes,Yes,48,No,No phone service
9627-BOORL,761533079,One Year,Yes,Credit card (automatic),Male,0,Yes,No,DSL,Yes,No,Yes,No,No,Yes,67,No,No phone service
9696-AXMIS,761336473,One Year,No,Credit card (automatic),Female,0,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,22,No,No phone service
8301-UXCTD,764187290,One Year,Yes,Credit card (automatic),Female,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,9,No,No phone service
6116-NUWYY,760615580,One Year,No,Electronic check,Male,0,Yes,No,DSL,No,Yes,No,Yes,No,Yes,29,Yes,Yes
6573-ZYHNH,768643747,Month-to-Month,Yes,Electronic check,Female,0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,9,Yes,No
1050-JXOQW,768086691,Two Year,No,Mailed check,Male,0,No,Yes,DSL,Yes,Yes,Yes,No,No,No,44,Yes,Yes
4504-CEMRH,763564709,One Year,Yes,Electronic check,Female,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,57,Yes,No
9699-LVXSW,766251692,One Year,Yes,Credit card (automatic),Female,0,No,No,Fiber Optic,No,No,No,No,Yes,Yes,38,Yes,Yes
7015-NEIVA,768610995,One Year,No,Electronic check,Male,0,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,55,No,No phone service
4524-HOUFX,762811065,Month-to-Month,No,Mailed check,Female,0,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,62,Yes,No
6454-HWRVI,761041600,Month-to-Month,No,Mailed check,Female,0,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,70,Yes,Yes
2911-ETOFT,764809925,Month-to-Month,Yes,Electronic check,Male,0,No,Yes,DSL,Yes,No,No,Yes,Yes,No,30,Yes,Yes
2328-GVYAD,762286795,Two Year,Yes,Credit card (automatic),Male,0,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,61,Yes,No
1861-FVJAU,764908236,Month-to-Month,Yes,Bank transfer (automatic),Female,0,No,No,DSL,No,No,Yes,Yes,Yes,No,45,No,No phone service
8279-TZWII,765792979,One Year,No,Mailed check,Female,0,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,58,Yes,No
6972-CWGOB,769462996,Month-to-Month,No,Mailed check,Female,0,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,14,No,No phone service
3069-VBFJH,768086739,Two Year,Yes,Bank transfer (automatic),Male,0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,68,Yes,No
8144-KKMMC,768185046,Month-to-Month,Yes,Bank transfer (automatic),Female,0,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,35,No,No phone service
7663-XJKWO,761696982,Month-to-Month,Yes,Mailed check,Female,0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,24,Yes,No
5873-LJAYL,762745555,Two Year,Yes,Bank transfer (automatic),Male,0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,10,Yes,Yes
6370-HXNMP,763106009,Two Year,No,Bank transfer (automatic),Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,56,No,No phone service
7505-QJYFR,760189667,Month-to-Month,No,Mailed check,Male,0,No,Yes,DSL,No,No,No,Yes,Yes,Yes,35,Yes,Yes
8929-JFPVF,767496932,Month-to-Month,Yes,Bank transfer (automatic),Female,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,24,No,No phone service
3757-KIQKC,769495779,Month-to-Month,Yes,Bank transfer (automatic),Female,0,No,No,DSL,No,No,Yes,Yes,No,No,50,Yes,No
8943-FLFFO,766251750,Two Year,No,Bank transfer (automatic),Male,0,No,No,DSL,No,No,No,No,Yes,Yes,65,Yes,No
7534-LDEMA,761697000,One Year,Yes,Mailed check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,30,No,No phone service
8857-LOQHC,762843883,Two Year,No,Electronic check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,40,No,No phone service
9129-UMNJH,769594098,Two Year,Yes,Credit card (automatic),Female,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Yes
3270-ZYTSO,766743285,One Year,Yes,Mailed check,Female,0,No,No,DSL,No,Yes,Yes,No,No,No,69,Yes,Yes
5246-HLXHT,768381686,Month-to-Month,No,Mailed check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,67,No,No phone service
2866-JFKEO,769692414,Month-to-Month,No,Electronic check,Female,0,No,Yes,DSL,No,Yes,Yes,No,Yes,No,22,Yes,Yes
2095-GRPFA,761598723,Two Year,Yes,Credit card (automatic),Female,0,No,Yes,DSL,Yes,No,Yes,Yes,No,No,38,Yes,Yes
2220-FEUET,768807701,Two Year,Yes,Mailed check,Male,0,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,10,Yes,No
4969-CPKOY,763761430,Two Year,Yes,Mailed check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,No phone service
8135-KNAXH,766776094,Two Year,No,Credit card (automatic),Female,0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,27,Yes,No
4258-MKUQR,761402149,Two Year,Yes,Credit card (automatic),Female,0,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,17,No,No phone service
0421-VIQGD,764515116,Two Year,No,Bank transfer (automatic),Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18,No,No phone service
0004-NHGTB,766513966,Two Year,No,Credit card (automatic),Male,0,No,Yes,DSL,No,No,Yes,No,Yes,No,69,No,No phone service
1830-HNHHR,766284602,Month-to-Month,No,Electronic check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,67,Yes,Yes
6973-PSAUK,761074491,Two Year,No,Electronic check,Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,16,Yes,No
4126-ODETI,767890236,Month-to-Month,Yes,Mailed check,Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,59,Yes,Yes
7852-BHPSH,768348991,One Year,No,Electronic check,Female,0,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,25,No,No phone service
7097-TLVCT,761828165,Two Year,Yes,Credit card (automatic),Female,0,No,No,DSL,No,Yes,No,Yes,No,No,9,Yes,Yes
6881-JHSWG,764646216,One Year,No,Credit card (automatic),Female,0,Yes,Yes,DSL,No,No,Yes,No,No,No,67,No,No phone service
6665-EANHZ,761959242,One Year,Yes,Bank transfer (automatic),Female,0,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,54,No,No phone service
7555-CNXJP,761140045,One Year,No,Credit card (automatic),Male,0,Yes,Yes,DSL,No,No,Yes,No,No,No,72,No,No phone service
7109-CXSZG,763433824,Two Year,No,Mailed check,Male,0,Yes,Yes,DSL,No,Yes,No,No,No,No,55,Yes,No
3781-EFRFN,763794275,Month-to-Month,Yes,Bank transfer (automatic),Female,0,Yes,Yes,DSL,No,No,No,Yes,Yes,No,37,Yes,No
6216-BVZBS,763204452,Two Year,Yes,Credit card (automatic),Female,0,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,71,No,No phone service
7148-QNIZP,768775017,Month-to-Month,No,Electronic check,Female,0,No,No,Fiber Optic,No,Yes,Yes,No,No,No,45,Yes,No
2510-RTCHI,761893742,One Year,Yes,Mailed check,Female,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,33,No,No phone service
9973-PUCPZ,763237233,One Year,Yes,Credit card (automatic),Male,0,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,40,No,No phone service
8805-CSJHM,765334389,One Year,No,Credit card (automatic),Male,0,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,22,No,No phone service
6576-QSWZO,763073399,One Year,No,Bank transfer (automatic),Female,0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,49,No,No phone service
8091-VBAEH,769037176,One Year,No,Bank transfer (automatic),Female,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,63,No,No phone service
4539-MLZNC,767333247,Two Year,Yes,Credit card (automatic),Female,0,No,Yes,DSL,No,No,Yes,No,Yes,No,28,No,No phone service
6194-YWUDN,764023688,Month-to-Month,Yes,Bank transfer (automatic),Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,42,No,No phone service
4244-NHNPA,760419211,Two Year,Yes,Mailed check,Male,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,71,No,No phone service
8431-WFJLX,767562641,Month-to-Month,Yes,Credit card (automatic),Female,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,55,No,No phone service
2168-FIVPP,762844053,Two Year,Yes,Bank transfer (automatic),Male,0,No,No,Fiber Optic,No,No,Yes,No,No,Yes,2,No,No phone service
3844-JDABK,767169432,One Year,Yes,Mailed check,Male,0,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,40,Yes,Yes
5770-UJUMH,767595425,One Year,No,Mailed check,Male,0,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,28,Yes,No
4877-BRVOX,763696040,One Year,Yes,Electronic check,Female,0,No,Yes,DSL,Yes,Yes,Yes,No,No,Yes,60,Yes,No
2649-AOFHW,767431596,One Year,No,Bank transfer (automatic),Male,0,No,No,Fiber Optic,No,No,No,Yes,Yes,No,13,No,No phone service
0219-CFXEC,768349103,Two Year,No,Electronic check,Female,0,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,63,Yes,No
